Formula,Name,CAS,A,B,C,Tmin,Tmax
C4H10,n-Butane,106-97-8,-4.946,0.29001,-0.000069665,150,1200
C10H22,n-Decane,0,-7.297,0.18506,-4.8008E-06,287,783
C7H16,n-Heptane,0,-10.378,0.24401,-0.000054003,338,700
C6H14,n-Hexane,0,-8.222,0.26229,-0.000057366,300,1000
C6H5NO2,Nitrobenzene,0,-16.569,0.29184,-0.000025523,450,1000
N2,Nitrogen,0,42.606,0.475,-0.0000988,150,1500
C9H20,n-Nonane,0,-6.802,0.18688,3.4929E-07,273,773
C8H18,n-Octane,0,3.94,0.1664,0.00001447,374,670
C5H12,n-Pentane,0,-3.202,0.26746,-0.000066178,303,900
O2,Oxygen,0,44.224,0.562,-0.000113,150,1500
C8H10,o-Xylene,95-47-6,-19.763,0.28022,-0.000059293,250,1000
C6H6O,Phenol,0,-7.185,0.27179,-0.000036205,455,1000
C3H8,Propane,0,-5.462,0.32722,-0.00010672,193,750
C8H10,p-Xylene,106-42-3,-17.226,0.25098,-0.000028232,286,1000
C5H5N,Pyridine,0,-5.739,0.27135,-0.000017202,369,998
C8H8,Styrene,0,-10.035,0.25191,-0.000037932,243,1000
SO2,Sulfur dioxide,0,-11.103,0.502,-0.000108,200,1000
C7H8,Toluene,0,1.787,0.23566,-9.3508E-06,275,600
C4H6O2,Vinyl acetate,0,-7.462,0.30466,-0.000057544,346,1000
H2O,Water,0,-36.826,0.429,-0.0000162,280,1073
